date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:51:58	21111/21111	---M-Z	200	added ('OK')	image/svg+xml	etag:%225277-664daa78-9a3ec27de6f218e2;gz%22	https://eduport.webestica.com/assets/images/element/help.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/help.svg	(from https://eduport.webestica.com/index-6.html)
09:51:59	5106/5106	---M-Z	200	added ('OK')	image/svg+xml	etag:%2213f2-664daa6f-9a9e47261eea8aac;gz%22	https://eduport.webestica.com/assets/images/element/abc.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/abc.svg	(from https://eduport.webestica.com/index-6.html)
09:51:59	10645/10645	---M-Z	200	added ('OK')	image/svg+xml	etag:%222995-664daa7a-a403e83e4fbd4491;gz%22	https://eduport.webestica.com/assets/images/element/lego.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/lego.svg	(from https://eduport.webestica.com/index-6.html)
09:51:59	14589/14589	---M-Z	200	added ('OK')	image/svg+xml	etag:%2238fd-664daa7f-ac4f283427ad4283;gz%22	https://eduport.webestica.com/assets/images/element/sport.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/sport.svg	(from https://eduport.webestica.com/index-6.html)
09:52:00	53660/53660	---M-Z	200	added ('OK')	image/svg+xml	etag:%22d19c-664daa7f-5822fdf3d8546b2b;gz%22	https://eduport.webestica.com/assets/images/element/song.svg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/element/song.svg	(from https://eduport.webestica.com/index-6.html)
09:52:00	196928/196928	---M--	200	added ('OK')	image/jpeg	etag:%2230140-664daa3e-33b3fe47c9625054;;;%22	https://eduport.webestica.com/assets/images/about/19.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/19.jpg	(from https://eduport.webestica.com/index-6.html)
09:52:01	123320/123320	---M--	200	added ('OK')	image/jpeg	etag:%221e1b8-664daa3d-a0fd56687e7c952;;;%22	https://eduport.webestica.com/assets/images/about/17.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/17.jpg	(from https://eduport.webestica.com/index-6.html)
09:52:01	81502/81502	---M--	200	added ('OK')	image/jpeg	etag:%2213e5e-664daa3f-75390dbc879d677e;;;%22	https://eduport.webestica.com/assets/images/about/21.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/21.jpg	(from https://eduport.webestica.com/index-6.html)
09:52:01	131159/131159	---M--	200	added ('OK')	image/jpeg	etag:%2220057-664daa3f-7d80bf8aa01cb0be;;;%22	https://eduport.webestica.com/assets/images/about/20.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/20.jpg	(from https://eduport.webestica.com/index-6.html)
09:52:02	70533/70533	---M--	200	added ('OK')	image/jpeg	etag:%2211385-664daa3e-f2ed46ff877783ed;;;%22	https://eduport.webestica.com/assets/images/about/18.jpg	C:/Users/DELL/Desktop/Web%20Project/TestDownloadWeb/eduport.webestica.com/assets/images/about/18.jpg	(from https://eduport.webestica.com/index-6.html)
